Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros accesos,Total accesos,Mbps (Media de bajada),Accesos por cada 100 hogares,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otras velocidades,Total velocidades
2019,3,Tierra Del Fuego,19790.0,26659.0,651.0,0.0,1.487,48587.0,6.69,96.46,6.0,14.0,32133.0,4.692,1.756,82.0,226.0,9.648,48557.0
2019,3,Tucumán,150918.0,12089.0,116.0,684.0,324.0,164131.0,19.32,39.49,16.0,110.0,71043.0,47.693,24.354,843.0,20385.0,0.0,164444.0
2019,4,Buenos Aires,720011.0,2191672.0,669194.0,87.111,18.266,3686254.0,30.77,64.25,33.489,27.537,1177446.0,262.297,247.106,452.57,1465133.0,20.676,3686254.0
2019,4,Capital Federal,196938.0,1093143.0,35534.0,3.914,28.576,1358105.0,44.2,106.25,307.0,15.0,177098.0,110.218,110.852,205.81,753805.0,0.0,1358105.0
2019,4,Catamarca,22999.0,3318.0,9506.0,261.0,2.227,38311.0,24.88,36.44,63.0,0.0,9945.0,7.619,9.305,804.0,7477.0,3.098,38311.0
2019,4,Chaco,48661.0,53602.0,8831.0,5.229,1.58,117903.0,23.37,36.84,83.0,0.0,25899.0,18.959,30.902,13.516,21556.0,6.988,117903.0
2019,4,Chubut,47045.0,26977.0,1324.0,15.267,5.489,96102.0,6.99,51.15,158.0,4.0,69405.0,12.945,7.615,1.24,614.0,4.121,96102.0
2019,4,Corrientes,52525.0,51845.0,2002.0,2.458,5.004,113834.0,19.26,38.77,72.0,0.0,35055.0,20.62,27.367,9.981,15744.0,4.995,113834.0
2019,4,Córdoba,296872.0,410038.0,53335.0,37.75,8.693,806688.0,26.16,70.48,142.0,0.0,232781.0,118.232,109.33,114.111,221742.0,10.35,806688.0
2019,4,Entre Ríos,92981.0,99206.0,12875.0,18.561,15.407,239030.0,17.01,57.99,47.0,0.0,88203.0,44.511,42.962,18.976,30153.0,14.178,239030.0
2019,4,Formosa,21567.0,8684.0,1760.0,14.531,169.0,46711.0,14.53,30.47,1.127,191.0,24606.0,6.319,6.788,1.766,5671.0,243.0,46711.0
2019,4,Jujuy,32949.0,37604.0,873.0,814.0,16.641,88881.0,12.96,45.38,55.0,0.0,32920.0,9.632,26.764,102.0,5286.0,14.122,88881.0
2019,4,La Pampa,15457.0,56854.0,4942.0,11.341,1.805,90399.0,6.53,76.92,293.0,313.0,76747.0,6.9,1.951,1.287,1342.0,1.566,90399.0
